name,email,userId,collegeNameGrad,graduationDegree,collegeName,postGraduationDegree,previousOrganisation,previousOrganisationPosition,currentOrganizationName,currentOrganisationPosition,divisionName,departmentName,country,region,city,birthDate,skills,,unique_skills,unique_colleges,unique_company,unique_regions
andrzej kicinger,andrzejk@gmail.com,andrzejk,biju patnaik university of technology (bput),bachelor of engineering,biju patnaik university of technology (bput),electronics & telecommunication engineering ,capgemini,ux visual designer, citi bank europe plc,analyst,core product,engineering,india,asia,bengaluru,07-09-1994,reactjs,,reactjs,biju patnaik university of technology (bput),capgemini,asia
ankush gupta,ankushg@gmail.com,ankushg,brooklyn college of the city university of new york,bachelor of arts,brooklyn college of the city university of new york,fine arts,morgan stanley,senior manager,ubs,head of data intelligence,management ,executive leadership,usa,americas,new york,08-02-1991,java,,java,brooklyn college of the city university of new york,morgan stanley,americas
nathaniel cole,nathanielc@gmail.com,nathanielc,"california state university, long beach",bachelor of science,"california state university, long beach",computer science,tuv rheinland,cto global cybersecurity testing,trevipay,associate,core product,engineering,india,asia,bengaluru,19-12-1992,c++,,c++,"california state university, long beach",tuv rheinland,emea
mahesh,mahesh@gmail.com,maheshs,carnegie mellon university,bachelors of science,carnegie mellon university,electrical and computer engineering,goldman sachs,vice president,"mscripts, a cardinal health company",analyst,core product,engineering,india,asia,bengaluru,19-02-1999,javascript,,javascript,carnegie mellon university,goldman sachs,
emmanuel lefort,emmanual@gmail.com,emmanuell,columbia university,bachelor of arts,columbia university,computer science,natixis,"md, head of markets, apac",weavit,analyst,core product,engineering,india,asia,pune,29-01-1997,python,,python,columbia university,natixis,
arushi prasad,arushi@gmail.com,aruship,cornell university,bachelor of science,cornell university,computer science,numino labs,senior manager,tcs,co-head of devops,cp,engineering,india,asia,noida,29-04-1994,angular,,angular,cornell university,numino labs,
ashwin bhat,ashwin@gmail.com,ashwinb,cornell university,bachelor of science,cornell university,operations research and information engineering,capgemini,cloud architect,capgemini technology services india limited,associate,core product,engineering,india,asia,bengaluru,07-01-1990,reactjs,,,imperial college london ,samsung r&d institute poland,
piotr podbielski,piotr@gmail.com,piotrp,imperial college london ,bachelor of arts,imperial college london ,finance & mathematics,samsung r&d institute poland,junior natural language processing engineer,samsung r&d institute poland,head of design,core product,design,usa,americas,new york,01-05-1997,javascript,,,"indian institure of technology, roorkee","mscripts, a cardinal health company",
somya didwania,somya@gmail.com,somyad,"indian institure of technology, roorkee",bachelors of technology,"indian institure of technology, roorkee",computer science and engineering,"mscripts, a cardinal health company",associate engineer,"mscripts, a cardinal health company",analyst,core product,engineering,india,asia,delhi,11-06-1990,python,,,"indian institute of information technology, allahabad",randstad technologies pvt ltd,
sushanth kille,sushanth@gmail.com,sushanthk,"indian institute of information technology, allahabad",bachelor of technology,"indian institute of information technology, allahabad",information technology,"mscripts, a cardinal health company",associate software engineer,"mscripts, a cardinal health company",founder ceo,management ,executive leadership,usa,americas,new york,16-02-1991,c++,,,indian institute of management,citi,
